Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Rego Park,Queens,neighborhood,1362.5,1387.5,,1300.0,1350.0,,,,1350.0,1350.0,1350.0,1350.0,1350.0,1400.0,1400.0,,1350.0,1400.0,1400.0,1400.0,1425.0,1400.0,,1500.0,1512.5,1550.0,,,,,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1550.0,1550.0,1525.0,1400.0,1400.0,1425.0,1600.0,1650.0,1650.0,1700.0,1600.0,1638.5,1620.0,1613.0,1575.0,1685.0,1725.0,1725.0,1750.0,1800.0,1837.5,1850.0,1850.0,1800.0,1900.0,1885.0,1887.5,1900.0,1899.0,1850.0,1850.0,1850.0,1797.5,1750.0,1800.0,1800.0,1950.0,1950.0,1950.0,2000.0,2000.0,1900.0,1962.5,2087.5,2000.0,1950.0,2087.5,2225.0,2050.0,1950.0,1865.0,1865.0,1850.0,1850.0,1850.0,2000.0,1925.0,1925.0,1854.0,1800.0,1797.5,1845.0,1875.0,1833.0,1795.0,1850.0
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1475.0,1600.0,1600.0,,1597.5,1525.0,,,1575.0,,1625.0,1600.0,1800.0,1900.0,1850.0,2000.0,1900.0,1825.0,1787.5,1800.0,1700.0,1695.0,1750.0,1800.0,1750.0,1795.0,1799.0,1800.0,1850.0,1850.0,1850.0,1800.0,1800.0,1775.0,1750.0,1799.5,1800.0,1750.0,1850.0,1925.0,2000.0,1942.5,1900.0,1900.0,1850.0,1906.5,1899.0,1800.0,1800.0,1900.0
Riverdale,Bronx,neighborhood,1575.0,1500.0,1500.0,1450.0,1475.0,1500.0,1475.0,,,1500.0,1500.0,1500.0,1475.0,1450.0,1550.0,1550.0,1550.0,1475.0,1525.0,1450.0,1462.5,1475.0,1500.0,1450.0,1450.0,1500.0,1550.0,1572.5,1500.0,1500.0,1550.0,1550.0,1500.0,1500.0,1500.0,1525.0,1550.0,1600.0,1625.0,1600.0,1600.0,1600.0,1597.5,1595.0,1650.0,1650.0,1600.0,1650.0,1600.0,1595.0,1625.0,1695.0,1672.5,1700.0,1750.0,1662.5,1713.0,1675.0,1675.0,1738.0,1750.0,1760.5,1850.0,1713.0,1700.0,1825.0,1700.0,1795.0,1750.0,1800.0,1850.0,1800.0,1800.0,1750.0,1785.0,1800.0,1800.0,1800.0,1800.0,1762.5,1750.0,1750.0,1850.0,1850.0,1829.0,1800.0,1797.5,1812.5,1800.0,1800.0,1800.0,1800.0,1750.0,1725.0,1750.0,1875.0,1800.0,1800.0,1875.0,1875.0,1825.0,1895.0
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1287.0,1292.0,1287.0,,,,1350.0,1300.0,,,1350.0,1425.0,1347.5,1322.5,1350.0,1350.0,1399.5,1350.0,1374.5,,,,1425.0,1450.0,,1550.0,1595.0,1550.0,1675.0,1700.0,1655.0,1602.5,1590.0,1655.0,,,,1699.0,1699.0,,1672.0,1647.0,1499.0,1475.0,,1475.0,,,1600.0,1599.0
Roosevelt Island,Manhattan,neighborhood,,2184.5,2161.5,2300.0,2169.0,2169.0,2169.0,2300.0,2308.0,2325.0,2300.0,2300.0,2300.0,2238.0,2275.0,2401.0,2500.0,2475.0,2475.0,,2572.5,2595.0,2700.0,2700.0,,,,,2960.0,2872.5,2900.0,2950.0,2812.5,2775.0,2525.0,2612.5,2700.0,,2900.0,3000.0,2700.0,2700.0,2795.0,3072.5,2795.0,2795.0,2695.0,3197.5,3195.0,3095.0,2972.5,2695.0,3195.0,3095.0,2995.0,2995.0,2925.0,2600.0,2695.0,2875.0,2800.0,2800.0,2800.0,2995.0,2918.0,2995.0,3237.5,3250.0,2662.5,2579.0,2795.0,3050.0,3150.0,3130.0,3100.0,2950.0,3271.0,3271.0,3100.0,3100.0,3097.5,2850.0,2668.0,2738.0,2775.0,3043.0,2725.0,2900.0,3000.0,3295.0,3300.0,3285.0,2850.0,2900.0,2825.0,2550.0,2825.0,2714.0,2950.0,2955.0,3150.0,3078.0
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,1175.0,,,,,,,,,,,1248.0,1250.0,1275.0,1300.0,1250.0,1250.0,1350.0,1262.5,1400.0,1225.0,1350.0,1400.0,1450.0,1400.0,1325.0,1337.5,1400.0,1300.0,1437.5,,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1425.0,1475.0,1400.0,1400.0,1395.0,1400.0,1375.0,1400.0,1472.5,1387.5,1350.0,1362.5,1400.0,1475.0,1500.0,1450.0,1412.5,1400.0,1400.0,1500.0,1490.0,1490.0,1450.0,1400.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1525.0,1500.0,1600.0,1597.0,1575.0,1550.0,1562.5,1550.0,1592.5,1625.0,1600.0,1600.0,1595.0,1600.0,1625.0,1650.0,1600.0,1602.0,1675.0,1697.5,1650.0,1695.0,1675.0,1695.0,1697.0,1695.0,1650.0,1645.0,1675.0,1699.0,1650.0
Soho,Manhattan,neighborhood,3000.0,3000.0,3000.0,3050.0,2900.0,3095.0,3200.0,2975.0,3425.0,3000.0,3000.0,3651.0,3000.0,3000.0,2845.0,3195.0,3200.0,3800.0,4000.0,3800.0,3800.0,3500.0,3700.0,3800.0,3800.0,3850.0,3950.0,4250.0,3925.0,3645.0,3447.5,3195.0,4000.0,3525.0,3299.0,3750.0,3750.0,3300.0,3375.0,3700.0,3297.5,3300.0,2997.5,3311.0,3750.0,3450.0,3450.0,3150.0,3200.0,3500.0,3100.0,3347.5,3400.0,3500.0,3495.0,3050.0,3295.0,3600.0,3550.0,3250.0,3450.0,3350.0,3675.0,3495.0,3850.0,3850.0,3597.5,3300.0,3597.5,3475.0,3400.0,3397.5,3350.0,3295.0,3650.0,3700.0,3550.0,3325.0,3250.0,3172.5,3500.0,3500.0,3400.0,3372.5,3350.0,3200.0,3400.0,3600.0,3537.5,3400.0,3395.0,3108.5,3117.0,3200.0,3472.5,3600.0,3457.5,3625.0,3600.0,3597.5,3250.0,3200.0
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.5,1262.5,1300.0,1362.5,1287.5,1275.0,1275.0,1275.0,1250.0,1275.0,1350.0,,,,,,,,,,,,1425.0,1450.0,,,,1412.5,1400.0,,,,,,,,,,,1500.0,,,
South Brooklyn,Brooklyn,submarket,1350.0,1300.0,1300.0,1300.0,1300.0,1312.5,1300.0,1250.0,1200.0,1295.0,1300.0,1250.0,1250.0,1275.0,1275.0,1300.0,1275.0,1300.0,1275.0,1250.0,1300.0,1325.0,1300.0,1300.0,1350.0,1345.0,1300.0,1347.5,1375.0,1375.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1395.0,1385.0,1375.0,1425.0,1450.0,1400.0,1400.0,1400.0,1400.0,1470.0,1500.0,1497.5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1475.0,1475.0,1492.5,1500.0,1495.0,1475.0,1475.0,1500.0,1525.0,1525.0,1500.0,1550.0,1550.0,1595.0,1600.0,1595.0,1600.0,1595.0,1600.0,1600.0,1600.0,1600.0,1610.0,1650.0,1650.0,1650.0,1675.0,1655.5,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1675.0,1695.0,1675.0,1675.0,1690.0,1675.0,1665.0,1695.0,1695.0,1675.0,1699.0,1700.0,1700.0
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,1429.5,1399.5,1349.5,,1450.0,,,,,,,,,,1595.0,1372.5,1395.0,1475.0,1475.0,1462.5,1425.0,1352.5,1387.5,1390.0,1450.0,1400.0,1400.0,1400.0,1400.0,1498.0,1525.0,1575.0,1575.0,1445.0,1422.5,1697.5,1695.0,1625.0,1675.0,1599.0,1550.0,1599.0,1500.0,1400.0,1450.0,1500.0,1495.0,1500.0,1500.0,1525.0,1562.5,1537.5,1600.0,1650.0,1650.0,1675.0,1650.0,1599.0,1595.0,1550.0,1650.0,1810.0,1700.0,1650.0,1600.0,1600.0,1695.0,1500.0,1725.0,1798.0,1600.0,1600.0,1700.0,1650.0,1650.0,1750.0
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1350.0,1350.0,,,,,,,,,1137.5,,,,1175.0,1150.0,1150.0,1150.0,1160.0,,,1250.0,1150.0,1175.0,,1200.0,1200.0,1200.0,,1200.0,1200.0,1250.0,1250.0,1250.0,1370.0,1500.0,1734.5,1684.5,1395.0,1405.0,1395.0,,1500.0,1695.0,2140.0,2300.0,2140.0,2140.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1600.0,1500.0,1500.0,1500.0,1500.0,1500.0,1745.0,1395.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1500.0,1500.0,1647.5
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,3324.0,3377.5,3377.5,3350.0,3419.5,3433.0,,3429.5,3390.0,3350.0,3350.0,3235.0,3200.0,3250.0,3250.0,3200.0,2965.0,2965.0,2965.0,,,,3408.5,3408.5,3249.0,3249.0,3305.5,3323.0,3411.0,3467.0,3377.0,3149.5,3331.5,3325.0,3187.0,3068.0,3299.0,3299.0,3572.0,3572.0,3290.0,3216.0,3335.5,3411.0,3462.0,3479.0,3300.0,3252.0,3225.0,3191.0,3397.0,3685.0,3618.0,3547.5,3530.0,3540.0,3584.0,3570.0,3558.5,3611.0,3495.0,3645.0,3604.0,3611.5,3572.5,3630.5,3406.0,3525.0,3440.0,3625.0,3690.0,3541.0,3222.5,3535.5,3623.0,3576.0,3657.0,3610.0,
Sunnyside,Queens,neighborhood,1350.0,1350.0,1350.0,1399.0,1400.0,1375.0,1400.0,1400.0,1460.0,1412.5,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1445.0,1450.0,1450.0,1550.0,1550.0,1495.0,1547.5,1547.5,1600.0,1595.0,1650.0,1550.0,1650.0,1650.0,1500.0,1425.0,1462.5,1500.0,1500.0,1500.0,1500.0,1495.0,1500.0,1550.0,1637.5,1687.5,1650.0,1650.0,1712.5,1650.0,1675.0,1675.0,1675.0,1750.0,1800.0,1750.0,1700.0,1800.0,1800.0,1760.0,1750.0,1750.0,1750.0,1785.0,1800.0,1800.0,1750.0,1875.0,1900.0,1875.0,1900.0,1900.0,1937.5,1950.0,1850.0,1895.0,1950.0,1900.0,1900.0,1895.0,1879.0,1900.0,1937.5,1900.0,1945.0,1950.0,1897.5,1925.0,1875.0,1817.5,1850.0,1850.0,1885.0,1885.0,1885.0,1895.0,1850.0,1850.0,1850.0,1900.0,1877.5,1900.0,1900.0,1945.0,1900.0,1850.0
Sunset Park,Brooklyn,neighborhood,1200.0,1200.0,1175.0,1187.5,1200.0,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,1300.0,,,1350.0,1450.0,1487.5,1547.5,1500.0,1500.0,1575.0,1500.0,,1450.0,1400.0,1400.0,1400.0,1400.0,1500.0,1600.0,1750.0,1725.0,1750.0,1604.0,1600.0,1525.0,1500.0,1500.0,1575.0,1500.0,1550.0,1550.0,1600.0,1600.0,1525.0,1550.0,1700.0,1650.0,1600.0,1650.0,1750.0,1600.0,1700.0,1700.0,1700.0,1627.5,1700.0,1750.0,1750.0,1750.0,1672.5,1700.0,1700.0,1700.0,1700.0,1700.0,1650.0,1700.0,1650.0,1775.0,1700.0,1719.0,1750.0,1709.5,1650.0,1750.0,1750.0,1750.0,1795.0
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1282.0,1287.0,1292.0,1287.0,,,,1350.0,1300.0,,,1350.0,1425.0,1347.5,1322.5,1350.0,1350.0,1399.5,1350.0,1374.5,,,,1425.0,1450.0,,1550.0,1595.0,1550.0,1675.0,1700.0,1655.0,1602.5,1590.0,1655.0,,,,1699.0,1699.0,,1672.0,1647.0,1499.0,1475.0,,1475.0,,,1600.0,1599.0
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.0,,1412.5,1350.0,1449.0,1300.0,1300.0,1300.0,1300.0,1375.0,,1269.5,1294.5,1300.0,,,,1350.0,,,1350.0,1350.0,1350.0,1312.5,1350.0,1500.0,,,,,,,,,,,,,
Tribeca,Manhattan,neighborhood,3995.0,4000.0,3900.0,3925.0,3825.0,3695.0,3695.0,3600.0,3595.0,4000.0,3800.0,3995.0,4150.0,3800.0,3847.5,3995.0,3847.5,4000.0,4447.5,4400.0,3975.0,3997.5,4160.0,4160.0,4200.0,4322.5,4300.0,4395.0,4295.0,4395.0,4095.0,4287.5,4325.0,4595.0,4472.5,4275.0,4250.0,4200.0,4325.0,4200.0,4495.0,4500.0,4795.0,4500.0,4475.0,3995.0,4295.0,4300.0,4150.0,4197.5,4200.0,4295.0,4395.0,4440.0,4525.0,4425.0,4195.0,4395.0,4385.0,4595.0,4495.0,4495.0,4820.0,5225.0,5112.5,5000.0,5087.5,5310.0,4795.0,4695.0,4595.0,4595.0,4495.0,4788.5,4850.0,5000.0,4795.0,4697.5,5075.0,5030.0,5000.0,5000.0,4690.0,4885.0,4650.0,4500.0,4514.0,4650.0,4595.0,4600.0,5000.0,4395.0,4347.5,4195.0,4195.0,4272.5,4500.0,4500.0,4500.0,4720.0,4695.0,4697.5
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,,1150.0,1199.0,,,,,1150.0,,1175.0,1199.0,,1217.5,1237.5,,1260.0,,1232.5,1250.0,1272.5,1250.0,1250.0,1250.0,1275.0,1286.5,1300.0,1330.0,1300.0,1295.0,,,1300.0,1300.0,,1362.5,1357.5,1300.0,1300.0,1407.5,1399.0,1350.0,,,1350.0,1350.0,,,1379.0,,1387.0,1495.0,1495.0,1434.0,1450.0,1450.0,1441.5,1472.5,1499.0,1500.0,1450.0,1450.0,1462.5,1450.0
Upper East Side,Manhattan,neighborhood,2350.0,2300.0,2325.0,2450.0,2500.0,2500.0,2500.0,2490.0,2500.0,2500.0,2400.0,2500.0,2495.0,2450.0,2400.0,2500.0,2600.0,2600.0,2555.0,2600.0,2650.0,2700.0,2700.0,2695.0,2625.0,2650.0,2600.0,2650.0,2600.0,2650.0,2650.0,2637.5,2700.0,2600.0,2650.0,2695.0,2650.0,2750.0,2750.0,2699.5,2700.0,2695.0,2650.0,2795.0,2775.0,2750.0,2700.0,2725.0,2695.0,2699.0,2650.0,2650.0,2650.0,2600.0,2650.0,2575.0,2600.0,2650.0,2700.0,2795.0,2792.5,2847.5,2850.0,2750.0,2795.0,2800.0,2800.0,2850.0,2950.0,2850.0,2800.0,2895.0,2900.0,2895.0,2950.0,2895.0,2890.0,2800.0,2750.0,2750.0,2795.0,2795.0,2800.0,2875.0,2800.0,2800.0,2850.0,2850.0,2800.0,2800.0,2800.0,2795.0,2850.0,2795.0,2799.5,2800.0,2800.0,2784.0,2775.0,2700.0,2700.0,2800.0
Upper West Side,Manhattan,neighborhood,2600.0,2550.0,2497.0,2500.0,2500.0,2600.0,2600.0,2650.0,2750.0,2800.0,2800.0,2700.0,2700.0,2750.0,2775.0,2800.0,2800.0,2900.0,2850.0,2945.0,2900.0,2900.0,2975.0,3000.0,3000.0,2950.0,2900.0,2950.0,2900.0,2950.0,2995.0,2950.0,2995.0,2990.0,2997.5,2995.0,2950.0,2972.5,3000.0,3000.0,3000.0,2900.0,2850.0,2950.0,3000.0,3000.0,2950.0,2995.0,2950.0,2995.0,3000.0,3100.0,3100.0,3000.0,3000.0,2995.0,3050.0,3050.0,3000.0,3000.0,3095.0,3100.0,3100.0,3150.0,3150.0,3150.0,3250.0,3250.0,3300.0,3250.0,3200.0,3200.0,3200.0,3200.0,3200.0,3250.0,3250.0,3162.0,3195.0,3195.0,3200.0,3200.0,3140.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3129.0,3100.0,3097.0,3050.0,3140.0,3100.0,3080.0,3083.5,3100.0,3139.0,3100.0
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.0,1400.0,1387.5,1300.0,1375.0,1225.0,1300.0,1387.5,1387.5,1337.5,1249.5,1249.0,1249.5,,1250.0,,1400.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,,1450.0,1395.0,1397.5,1395.0,1375.0,1375.0,,,,1450.0,,,,,,,,,,,,,
Washington Heights,Manhattan,neighborhood,1400.0,1395.0,1395.0,1395.0,1355.0,1432.5,1495.0,1495.0,1425.0,1467.5,1440.0,1450.0,1400.0,1425.0,1412.5,1495.0,1485.0,1500.0,1500.0,1600.0,1600.0,1550.0,1550.0,1437.5,1525.0,1495.0,1595.0,1497.5,1500.0,1500.0,1495.0,1500.0,1495.0,1650.0,1500.0,1500.0,1600.0,1600.0,1512.5,1500.0,1595.0,1562.5,1550.0,1550.0,1600.0,1599.0,1600.0,1600.0,1550.0,1595.0,1500.0,1500.0,1550.0,1595.0,1700.0,1650.0,1650.0,1600.0,1600.0,1600.0,1600.0,1614.5,1650.0,1699.0,1685.0,1687.5,1700.0,1700.0,1750.0,1700.0,1700.0,1750.0,1750.0,1750.0,1700.0,1700.0,1700.0,1700.0,1725.0,1795.0,1750.0,1750.0,1749.5,1750.0,1800.0,1795.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1750.0,1750.0,1799.5,1796.0,1799.0,1796.0,1795.0,1802.0,1850.0
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,1600.0,,,,,,,,,,,,1750.0,1750.0,1750.0,1750.0,1800.0,,1900.0,1750.0,1750.0,1750.0,1750.0,,1850.0,1850.0,1750.0,1850.0,1850.0,1800.0,1850.0,1875.0,1900.0,,,1950.0,2050.0,2000.0,,,,1887.5,1850.0,1935.0,2000.0,1850.0,1895.0,1800.0,1925.0,,,1712.5,2725.0,2737.5,2725.0,2725.0,2300.0,2362.5,2347.5,2200.0
West Village,Manhattan,neighborhood,3297.5,3050.0,3000.0,3000.0,3000.0,3100.0,3300.0,3000.0,3300.0,2972.5,2900.0,3100.0,3250.0,3300.0,3199.0,3595.0,3500.0,3590.0,3300.0,3472.5,3300.0,3400.0,3300.0,3300.0,3250.0,3300.0,3300.0,3295.0,3400.0,3300.0,3397.5,3200.0,3300.0,3400.0,3485.0,3495.0,3325.0,3300.0,3400.0,3395.0,3500.0,3500.0,3500.0,3500.0,3500.0,3495.0,3400.0,3500.0,3425.0,3595.0,3500.0,3595.0,3500.0,3500.0,3500.0,3500.0,3500.0,3497.5,3500.0,3500.0,3550.0,3500.0,3500.0,3500.0,3595.0,3500.0,3500.0,3695.0,3600.0,3595.0,3587.5,3600.0,3625.0,3800.0,3800.0,3775.0,3795.0,3795.0,3700.0,3697.5,3600.0,3637.5,3595.0,3587.5,3500.0,3550.0,3525.0,3500.0,3650.0,3695.0,3650.0,3625.0,3600.0,3500.0,3425.0,3495.0,3500.0,3765.5,3750.0,3750.0,3765.0,3800.0
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.0,1287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,2383.0,2350.0,2350.0,2400.0,2400.0,2568.0,2550.0,2500.0,2550.0,2595.0,2600.0,2608.5,2633.5,2592.0,2800.0,2850.0,2800.0,2900.0,2850.0,2648.5,2800.0,2800.0,2850.0,2800.0,2881.0,2893.5,2867.0,2900.0,3000.0,2997.5,2975.0,3095.0,3138.0,3100.0,3050.0,3100.0,3050.0,2979.0,2900.0,2900.0,2950.0,3075.0,3100.0,3000.0,2999.0,2900.0,2944.0,2887.0,2900.0,2925.0,2956.5,3000.0,3000.0,3195.0,3200.0,3200.0,3150.0,3047.0,3047.0,3050.0,3000.0,3000.0,3000.0,3050.0,3000.0,3150.0,3150.0,3100.0,3000.0,3100.0,3150.0,3195.0,3146.0,3025.0,2950.0,2936.5,2950.0,2973.0,3000.0,2995.0,2900.0,3000.0,2950.0,2975.0,2930.0,2900.0,2953.0,2899.5,2800.0,2885.0,2845.5,2850.0,2900.0,2891.5,2764.5,2781.0,2797.0,2770.0,2750.0,2750.0,2750.0,2756.0
Windsor Terrace,Brooklyn,neighborhood,,,,,,,1800.0,1800.0,,1700.0,1650.0,1650.0,,1747.5,1550.0,,,,,,,,,,,,,,,1850.0,1800.0,1800.0,1700.0,1895.0,1925.0,1925.0,,1800.0,,1900.0,1797.5,1775.0,2100.0,2000.0,,2225.0,2200.0,2200.0,2100.0,2125.0,2100.0,2050.0,2025.0,2075.0,2075.0,2100.0,2200.0,2200.0,2225.0,2300.0,2225.0,2275.0,2300.0,2300.0,2100.0,2300.0,2250.0,2300.0,2500.0,2500.0,2195.0,2200.0,2225.0,2200.0,2150.0,2200.0,2100.0,2162.5,2097.5,2095.0,2095.0,2000.0,2000.0,2100.0,2100.0,2100.0,2100.0,2100.0,2197.5,2100.0,2000.0,2072.5,2195.0,2100.0,2195.0,2195.0,2200.0,2250.0,2200.0,2200.0,2200.0,2195.0
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,1575.0,,1700.0,1700.0,1700.0,1625.0,1675.0,,,,,,1500.0,1600.0,1550.0,,,,,,,,,,,,,,1487.5,,,1699.0,1675.0,,,,,,,,,1600.0,1549.0,
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0,1472.5,1570.0,1675.0,1750.0,1750.0,1700.0,1600.0,1595.0,1650.0,1600.0,1550.0,1662.5,1650.0,1700.0,1700.0,1625.0,1700.0,1700.0,1700.0,1695.0,1695.0,1585.0,1575.0,1600.0,1650.0,1650.0,1650.0,1695.0,1650.0,1635.0,1699.0,1700.0,1672.5,1650.0,1690.0,1700.0,1750.0,1725.0,1725.0,1700.0,1750.0,1700.0,1700.0,1700.0,1800.0,1790.0,1675.0,1700.0,1725.0,1675.0,1700.0,1750.0,1762.5,1790.0,1782.5
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
